
Port summary for switch OS-192:

Phys Addr  Status         Name                     Lock*  Tx Pwr(dBm)  Rx Pwr(dBm)  Speed    Protocol
---------  -------------  -----------------------  -----  -----------  -----------  -------  ---------
01.02.73   Not Connected  OS-192 01.02.73                 N/A          N/A          Unknown  Unknown
01.02.74   Not Connected  OS-192 01.02.74                 N/A          N/A          Unknown  Unknown
01.02.75   Not Connected  OS-192 01.02.75                 N/A          N/A          Unknown  Unknown
01.02.76   Not Connected  OS-192 01.02.76                 N/A          N/A          Unknown  Unknown
01.02.77   Not Connected  OS-192 01.02.77                 N/A          N/A          Unknown  Unknown
01.02.78   Not Connected  OS-192 01.02.78                 N/A          N/A          Unknown  Unknown
01.02.79   Not Connected  OS-192 01.02.79                 N/A          N/A          Unknown  Unknown
01.02.80   Not Connected  OS-192 01.02.80                 N/A          N/A          Unknown  Unknown
01.02.81   Not Connected  OS-192 01.02.81                 N/A          N/A          Unknown  Unknown
01.02.82   Not Connected  OS-192 01.02.82                 N/A          N/A          Unknown  Unknown
01.02.83   Not Connected  OS-192 01.02.83                 N/A          N/A          Unknown  Unknown
01.02.84   Not Connected  OS-192 01.02.84                 N/A          N/A          Unknown  Unknown
01.02.85   Not Connected  OS-192 01.02.85                 N/A          N/A          Unknown  Unknown
01.02.86   Not Connected  OS-192 01.02.86                 N/A          N/A          Unknown  Unknown
01.02.87   Not Connected  OS-192 01.02.87                 N/A          N/A          Unknown  Unknown
01.02.88   Not Connected  OS-192 01.02.88                 N/A          N/A          Unknown  Unknown
01.02.89   Not Connected  OS-192 01.02.89                 N/A          N/A          Unknown  Unknown
01.02.90   Not Connected  OS-192 01.02.90                 N/A          N/A          Unknown  Unknown
01.02.91   Not Connected  OS-192 01.02.91                 N/A          N/A          Unknown  Unknown
01.02.92   Not Connected  OS-192 01.02.92                 N/A          N/A          Unknown  Unknown
01.02.93   Not Connected  OS-192 01.02.93                 N/A          N/A          Unknown  Unknown
01.02.94   Not Connected  OS-192 01.02.94                 N/A          N/A          Unknown  Unknown
01.02.95   Not Connected  OS-192 01.02.95                 N/A          N/A          Unknown  Unknown
01.02.96   Not Connected  OS-192 01.02.96                 N/A          N/A          Unknown  Unknown
